"song_spotify_id","genre","tag","popularity"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"wdzh-FM";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"coolwench";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"lulz";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"love at first listen";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"stacys favorites";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"number one hits";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"great song";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"awesomeness";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"SO DOPE MAN";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Jam";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"dance central";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Proper Fanny";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"kims song";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Crank dat";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"devon arnold";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Floriszik";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"american";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"rnb";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Awesome";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"oh shi";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"why do i like this song";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"2007";"19"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"yep";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"hip hip";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"KDWB";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Dirty South";"25"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"lolz";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"snap music";"25"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"dance anthem";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"shake your body";"13"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"awesome cheese";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"this song is so awesome";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"sailormattisons library";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"some gangsta shit of catastrophic proportion";"82"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Love it";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"acclaimed music top 3000 bubbling under";"13"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"post-nerdcore";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"rap";"94"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"ds";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Lv this";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"extreme ultra brutal blackened progressive technical avant garde death metal with jazz and krautrock influences";"13"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"1001 Songs you must hear before you die";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"gossip girl";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"wtf";"13"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"dance please";"7"

